COMPRESION (CUBO)
ID	Fecha	Hora	Gradiente [kN/s]	Carga inicio [kN]	Carga rotura [%]	Longitud [mm]	Ancho [mm]	Temperatura [C]	Peso [Kg]	Densidad [Kg/m3]	Dias	Carga maxima [kN]	Resistencia maxima [Mpa]
0001	24/09/2025	12:58:56	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1254.677	   55.763
0002	24/09/2025	13:00:18	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1145.392	   50.906
0003	24/09/2025	13:01:53	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  706.248	   31.389
0004	24/09/2025	13:04:19	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  704.778	   31.323
0005	24/09/2025	13:06:18	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1170.789	   52.035
0006	24/09/2025	13:08:10	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1125.377	   50.017
0007	24/09/2025	13:09:46	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1189.779	   52.879
0008	24/09/2025	13:11:21	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1147.528	   51.001
0009	24/09/2025	13:14:24	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1027.294	   45.658
0010	24/09/2025	13:46:06	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  571.615	   25.405
0011	25/09/2025	05:48:17	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  778.541	   34.602
0012	25/09/2025	06:30:56	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  712.779	   31.679
0013	25/09/2025	06:34:43	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  774.809	   34.436
0014	25/09/2025	09:24:25	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  712.836	   31.682
0015	25/09/2025	09:28:48	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  488.987	   21.733
0016	26/09/2025	05:24:03	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  716.907	   31.863
0017	26/09/2025	06:08:07	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  891.857	   39.638
0018	26/09/2025	06:11:59	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  782.273	   34.768
0019	26/09/2025	08:12:06	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1894.793	   84.213
0020	26/09/2025	08:14:28	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1872.794	   83.235
0021	26/09/2025	08:16:39	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1340.552	   59.580
0022	26/09/2025	08:18:35	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1415.680	   62.919
0023	26/09/2025	08:20:36	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1900.356	   84.460
0024	26/09/2025	08:23:14	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1947.415	   86.552
0025	26/09/2025	08:25:41	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1824.274	   81.079
0026	26/09/2025	08:28:41	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1794.619	   79.761
0027	26/09/2025	08:34:15	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1412.597	   62.782
0028	26/09/2025	08:36:20	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1457.797	   64.791
0029	26/09/2025	08:39:33	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1308.476	   58.154
0030	26/09/2025	08:41:00	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1319.706	   58.654
0031	26/09/2025	08:45:16	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1129.278	   50.190
0032	26/09/2025	08:47:31	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1092.749	   48.567
0033	26/09/2025	09:24:29	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1295.861	   57.594
0034	26/09/2025	09:26:26	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1269.725	   56.432
0035	26/09/2025	09:28:15	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  666.695	   29.631
0036	26/09/2025	09:29:44	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  674.272	   29.968
0037	26/09/2025	09:31:12	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  557.281	   24.768
0038	26/09/2025	09:32:45	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  684.111	   30.405
0039	26/09/2025	09:36:36	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1337.498	   59.444
0040	26/09/2025	09:48:07	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1309.240	   58.188
0041	26/09/2025	10:00:28	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  979.320	   43.525
0042	26/09/2025	10:02:10	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  934.393	   41.529
0043	26/09/2025	10:07:48	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1186.021	   52.712
0044	26/09/2025	10:12:52	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1215.557	   54.025
0045	26/09/2025	10:15:05	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1120.053	   49.780
0046	26/09/2025	10:17:00	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1122.986	   49.910
0047	26/09/2025	10:18:46	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1283.924	   57.063
0048	26/09/2025	10:22:28	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1216.151	   54.051
0049	26/09/2025	10:27:42	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  928.500	   41.267
0050	26/09/2025	11:02:22	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  851.824	   37.859
0051	26/09/2025	11:05:55	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  444.451	   19.753
0052	26/09/2025	11:12:54	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  431.961	   19.198
0053	26/09/2025	13:05:21	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1111.369	   49.394
0054	26/09/2025	13:06:57	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1196.242	   53.166
0055	26/09/2025	13:08:37	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1217.848	   54.127
0056	26/09/2025	13:10:48	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1171.386	   52.062
0057	26/09/2025	13:13:26	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1194.761	   53.100
0058	26/09/2025	13:15:15	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1190.377	   52.906
0059	26/09/2025	13:17:03	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1100.437	   48.908
0060	26/09/2025	13:32:38	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1091.411	   48.507
0061	26/09/2025	13:35:37	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1127.541	   50.113
0062	26/09/2025	13:37:21	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1092.037	   48.535
0063	26/09/2025	13:39:29	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1189.978	   52.888
0064	26/09/2025	14:45:08	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1405.271	   62.456
0065	26/09/2025	14:48:41	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1301.065	   57.825
0066	26/09/2025	14:50:56	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	 1049.587	   46.648
0067	26/09/2025	14:54:12	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  935.133	   41.561
0068	26/09/2025	14:56:44	  11.250	   50.000	 5.0	150.00	150.00	20.00	 8.10	2400.00	  0	  556.656	   24.740
