format,test_id,date,time,temperature,length,width,diameter,height,area,weight,density,curing_days,pace_rate,max_load,max_resistance
2/3,0001,26/08/25,14:30,25.0,150.0,150.0,,,22500.0,11.348,,,,207.465,9.336
2/3,0002,26/08/25,14:30,25.0,150.0,150.0,,,22500.0,11.429,,,,209.368,9.422
2/3,0003,26/08/25,14:31,25.0,150.0,150.0,,,22500.0,11.075,,,,211.021,9.496
2/3,0004,26/08/25,14:31,25.0,150.0,150.0,,,22500.0,11.053,,,,204.702,9.212
2/3,0005,26/08/25,14:31,25.0,150.0,150.0,,,22500.0,11.68,,,,201.164,9.052
2/3,0006,26/08/25,14:31,25.0,150.0,150.0,,,22500.0,11.645,,,,216.622,9.748
2/3,0007,26/08/25,14:31,25.0,150.0,150.0,,,22500.0,11.486,,,,215.168,9.683
2/3,0008,26/08/25,14:31,25.0,150.0,150.0,,,22500.0,11.505,,,,216.388,9.737
2/3,0001,26/08/25,14:31,25.0,150.0,150.0,,,22500.0,11.588,,,,206.766,9.304
2/3,0002,26/08/25,14:31,25.0,150.0,150.0,,,22500.0,11.88,,,,213.07,9.588
2/3,0003,26/08/25,14:31,25.0,150.0,150.0,,,22500.0,11.652,,,,210.844,9.488
2/3,0004,26/08/25,14:31,25.0,150.0,150.0,,,22500.0,11.253,,,,213.617,9.613
2/3,0005,26/08/25,14:31,25.0,150.0,150.0,,,22500.0,11.935,,,,203.654,9.164
2/3,0006,26/08/25,14:31,25.0,150.0,150.0,,,22500.0,11.952,,,,201.981,9.089
2/3,0007,26/08/25,14:31,25.0,150.0,150.0,,,22500.0,11.008,,,,210.707,9.482
2/3,0008,26/08/25,14:31,25.0,150.0,150.0,,,22500.0,11.399,,,,218.331,9.825
2/3,0001,26/08/25,14:32,25.0,150.0,150.0,,,22500.0,11.922,,,,206.054,9.272
2/3,0002,26/08/25,14:32,25.0,150.0,150.0,,,22500.0,11.14,,,,216.094,9.724
2/3,0003,26/08/25,14:32,25.0,150.0,150.0,,,22500.0,11.649,,,,211.967,9.539
2/3,0004,26/08/25,14:32,25.0,150.0,150.0,,,22500.0,11.685,,,,218.977,9.854
2/3,0005,26/08/25,14:32,25.0,150.0,150.0,,,22500.0,11.068,,,,207.091,9.319
2/3,0006,26/08/25,14:32,25.0,150.0,150.0,,,22500.0,11.282,,,,213.009,9.585
2/3,0007,26/08/25,14:32,25.0,150.0,150.0,,,22500.0,11.357,,,,216.829,9.757
2/3,0008,26/08/25,14:32,25.0,150.0,150.0,,,22500.0,11.215,,,,208.437,9.38
2/3,0001,26/08/25,14:32,25.0,150.0,150.0,,,22500.0,11.017,,,,213.945,9.628
2/3,0002,26/08/25,14:32,25.0,150.0,150.0,,,22500.0,11.93,,,,218.522,9.833
2/3,0003,26/08/25,14:32,25.0,150.0,150.0,,,22500.0,11.756,,,,212.204,9.549
2/3,0001,27/08/25,07:37,25.0,150.0,150.0,,,22500.0,11.64,,,,219.35,9.871
2/3,0002,27/08/25,07:37,25.0,150.0,150.0,,,22500.0,11.76,,,,217.55,9.79
2/3,0003,27/08/25,07:37,25.0,150.0,150.0,,,22500.0,11.657,,,,201.382,9.062
2/3,0004,27/08/25,07:37,25.0,150.0,150.0,,,22500.0,11.925,,,,207.116,9.32
2/3,0005,27/08/25,07:37,25.0,150.0,150.0,,,22500.0,11.677,,,,209.828,9.442
2/3,0006,27/08/25,07:37,25.0,150.0,150.0,,,22500.0,11.227,,,,216.259,9.732
2/3,0001,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.611,,,,219.231,9.865
2/3,0002,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.649,,,,216.458,9.741
2/3,0003,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.082,,,,201.648,9.074
2/3,0004,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.342,,,,206.839,9.308
2/3,0005,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.395,,,,212.998,9.585
2/3,0006,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.014,,,,216.279,9.733
2/3,0007,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.942,,,,210.256,9.462
2/3,0008,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.849,,,,214.556,9.655
2/3,0009,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.832,,,,219.893,9.895
2/3,0010,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.779,,,,202.384,9.107
2/3,0011,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.078,,,,202.371,9.107
2/3,0012,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.191,,,,202.18,9.098
2/3,0013,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.301,,,,200.184,9.008
2/3,0014,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.349,,,,202.134,9.096
2/3,0015,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.608,,,,209.265,9.417
2/3,0016,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.44,,,,219.751,9.889
2/3,0017,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.609,,,,201.944,9.087
2/3,0018,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.091,,,,217.334,9.78
2/3,0019,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.397,,,,214.24,9.641
2/3,0020,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.162,,,,217.518,9.788
2/3,0021,27/08/25,07:44,25.0,150.0,150.0,,,22500.0,11.89,,,,205.832,9.262
2/3,0022,27/08/25,07:45,25.0,150.0,150.0,,,22500.0,11.579,,,,212.702,9.572
2/3,0023,27/08/25,07:45,25.0,150.0,150.0,,,22500.0,11.767,,,,206.299,9.283
2/3,0001,27/08/25,07:54,25.0,150.0,150.0,,,22500.0,11.448,,,,217.144,9.771
2/3,0002,27/08/25,07:54,25.0,150.0,150.0,,,22500.0,11.779,,,,207.524,9.339
2/3,0003,27/08/25,07:54,25.0,150.0,150.0,,,22500.0,11.865,,,,210.384,9.467
2/3,0004,27/08/25,07:54,25.0,150.0,150.0,,,22500.0,11.293,,,,219.111,9.86
2/3,0005,27/08/25,07:54,25.0,150.0,150.0,,,22500.0,11.764,,,,201.171,9.053
2/3,0006,27/08/25,07:54,25.0,150.0,150.0,,,22500.0,11.495,,,,213.869,9.624
2/3,0007,27/08/25,07:54,25.0,150.0,150.0,,,22500.0,11.059,,,,210.954,9.493
2/3,0008,27/08/25,07:54,25.0,150.0,150.0,,,22500.0,11.289,,,,214.153,9.637
2/3,0009,27/08/25,07:55,25.0,150.0,150.0,,,22500.0,11.525,,,,206.481,9.292
2/3,0010,27/08/25,07:55,25.0,150.0,150.0,,,22500.0,11.792,,,,202.106,9.095
2/3,0011,27/08/25,07:55,25.0,150.0,150.0,,,22500.0,11.363,,,,203.9,9.175
2/3,0012,27/08/25,07:55,25.0,150.0,150.0,,,22500.0,11.362,,,,217.724,9.798
2/3,0013,27/08/25,07:55,25.0,150.0,150.0,,,22500.0,11.952,,,,210.645,9.479
2/3,0014,27/08/25,07:55,25.0,150.0,150.0,,,22500.0,11.439,,,,209.14,9.411
